session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
ykdzfw2h,8,6ul57k0b,1,introduction,Welcome,1715675782,1,0,0
ykdzfw2h,13,6whe0107,1,introduction,Welcome,1715675783,1,0,0
ykdzfw2h,36,iwrxhwk3,1,introduction,Welcome,1715675783,1,0,0
ykdzfw2h,23,qirmcohg,2,introduction,Instructions,1715675783,1,0,0
ykdzfw2h,28,gb3p43e3,1,introduction,Welcome,1715675783,1,0,0
ykdzfw2h,2,zu5rxx67,1,introduction,Welcome,1715675784,1,0,0
ykdzfw2h,24,caq3vqi1,1,introduction,Welcome,1715675785,1,0,0
ykdzfw2h,1,rggxlrld,1,introduction,Welcome,1715675786,1,0,0
ykdzfw2h,5,ry0nc01c,1,introduction,Welcome,1715675787,1,0,0
ykdzfw2h,36,iwrxhwk3,2,introduction,Instructions,1715675787,1,0,0
ykdzfw2h,10,maxxa0b9,1,introduction,Welcome,1715675788,1,0,0
ykdzfw2h,4,a8gna0pr,1,introduction,Welcome,1715675789,1,0,0
ykdzfw2h,34,bv1rchfe,1,introduction,Welcome,1715675789,1,0,0
ykdzfw2h,12,7ikal8ir,1,introduction,Welcome,1715675790,1,0,0
ykdzfw2h,15,brcpj4zp,2,introduction,Instructions,1715675791,1,0,0
ykdzfw2h,29,qmykdy6l,1,introduction,Welcome,1715675791,1,0,0
ykdzfw2h,31,u53icqui,1,introduction,Welcome,1715675791,1,0,0
ykdzfw2h,9,3o2kadzu,1,introduction,Welcome,1715675791,1,0,0
ykdzfw2h,6,iw6538t5,1,introduction,Welcome,1715675792,1,0,0
ykdzfw2h,7,p8983tf0,1,introduction,Welcome,1715675796,1,0,0
ykdzfw2h,18,275e2ui1,2,introduction,Instructions,1715675799,1,0,0
ykdzfw2h,16,wr4oyk0w,1,introduction,Welcome,1715675800,1,0,0
ykdzfw2h,8,6ul57k0b,2,introduction,Instructions,1715675802,1,0,0
ykdzfw2h,5,ry0nc01c,2,introduction,Instructions,1715675802,1,0,0
ykdzfw2h,35,5ubvbqrt,2,introduction,Instructions,1715675803,1,0,0
ykdzfw2h,14,10hb91v0,1,introduction,Welcome,1715675810,1,0,0
ykdzfw2h,27,smddi2bm,1,introduction,Welcome,1715675810,1,0,0
ykdzfw2h,28,gb3p43e3,2,introduction,Instructions,1715675811,1,0,0
ykdzfw2h,33,8v2hfg8c,1,introduction,Welcome,1715675812,1,0,0
ykdzfw2h,17,69gxbqoq,2,introduction,Instructions,1715675817,1,0,0
ykdzfw2h,29,qmykdy6l,2,introduction,Instructions,1715675818,1,0,0
ykdzfw2h,9,3o2kadzu,2,introduction,Instructions,1715675818,1,0,0
ykdzfw2h,2,zu5rxx67,2,introduction,Instructions,1715675820,1,0,0
ykdzfw2h,7,p8983tf0,2,introduction,Instructions,1715675821,1,0,0
ykdzfw2h,6,iw6538t5,2,introduction,Instructions,1715675821,1,0,0
ykdzfw2h,32,2175hu1w,2,introduction,Instructions,1715675822,1,0,0
ykdzfw2h,19,bxgty49l,1,introduction,Welcome,1715675822,1,0,0
ykdzfw2h,14,10hb91v0,2,introduction,Instructions,1715675824,1,0,0
ykdzfw2h,4,a8gna0pr,2,introduction,Instructions,1715675826,1,0,0
ykdzfw2h,31,u53icqui,2,introduction,Instructions,1715675828,1,0,0
ykdzfw2h,24,caq3vqi1,2,introduction,Instructions,1715675830,1,0,0
ykdzfw2h,12,7ikal8ir,2,introduction,Instructions,1715675832,1,0,0
ykdzfw2h,1,rggxlrld,2,introduction,Instructions,1715675833,1,0,0
ykdzfw2h,19,bxgty49l,2,introduction,Instructions,1715675834,1,0,0
ykdzfw2h,33,8v2hfg8c,2,introduction,Instructions,1715675834,1,0,0
ykdzfw2h,13,6whe0107,2,introduction,Instructions,1715675837,1,0,0
ykdzfw2h,20,tzz523nu,1,introduction,Welcome,1715675837,1,0,0
ykdzfw2h,20,tzz523nu,2,introduction,Instructions,1715675839,1,0,0
ykdzfw2h,26,icm5jw1w,1,introduction,Welcome,1715675845,1,0,0
ykdzfw2h,16,wr4oyk0w,2,introduction,Instructions,1715675846,1,0,0
ykdzfw2h,21,n6p6kpol,1,introduction,Welcome,1715675859,1,0,0
ykdzfw2h,27,smddi2bm,2,introduction,Instructions,1715675861,1,0,0
ykdzfw2h,21,n6p6kpol,2,introduction,Instructions,1715675862,1,0,0
ykdzfw2h,10,maxxa0b9,2,introduction,Instructions,1715675867,1,0,0
ykdzfw2h,26,icm5jw1w,2,introduction,Instructions,1715675871,1,0,0
ykdzfw2h,30,aykj1i6i,1,introduction,Welcome,1715675899,1,0,0
ykdzfw2h,30,aykj1i6i,2,introduction,Instructions,1715675906,1,0,0
ykdzfw2h,11,wmkt6s6s,1,introduction,Welcome,1715675909,1,0,0
ykdzfw2h,23,qirmcohg,3,introduction,Proposal,1715675924,1,0,0
